S/N,Forest Id,Tree Species,Family,Dbh(cm),Db(m),Dm(m),Dt(m),Ht(m),Density,Plot Id
1917,10,Ricinodendron heudelotii,Euphorbiaceae,46.6,0.5,0.38,0.05,20.7,0.22,Plot10_1
1918,10,Cola gigantea,Malvaceae,12,0.15,0.08,0.04,21.9,0.54,Plot10_1
1919,10,Cola gigantea,Malvaceae,19.2,0.24,0.13,0.05,19.4,0.54,Plot10_1
1920,10,Cola gigantea,Malvaceae,13.8,0.18,0.1,0.04,20.3,0.54,Plot10_1
1921,10,Ricinodendron heudelotii,Euphorbiaceae,33,0.36,0.21,0.07,23.2,0.22,Plot10_1
1922,10,Hildegardia barteri,Malvaceae,16.1,0.17,0.1,0.04,18.4,0.33,Plot10_1
1923,10,Hildegardia barteri,Malvaceae,21,0.27,0.17,0.05,18.1,0.33,Plot10_1
1924,10,Sterculia tragacantha,Malvaceae,48,0.58,0.31,0.07,20.7,0.48,Plot10_1
1925,10,Cola millenii,Malvaceae,11.5,0.15,0.09,0.05,18.3,0.77,Plot10_1
1926,10,Ricinodendron heudelotii,Euphorbiaceae,70,0.83,0.57,0.08,23.7,0.22,Plot10_1
1927,10,Ceiba pentandra,Malvaceae,14,0.16,0.11,0.05,16.2,0.3,Plot10_1
1928,10,Ricinodendron heudelotii,Euphorbiaceae,49.5,0.55,0.4,0.06,21.7,0.22,Plot10_1
1929,10,Hildegardia barteri,Malvaceae,30,0.46,0.2,0.07,23.9,0.33,Plot10_1
1930,10,Cola millenii,Malvaceae,17.3,0.24,0.1,0.04,13.6,0.77,Plot10_1
1931,10,Blighia sapida,Sapindaceae,14,0.17,0.12,0.05,13.8,0.81,Plot10_1
1932,10,Dialium guineense ,Fabaceae,21.3,0.23,0.14,0.05,18.6,0.88,Plot10_1
1933,10,Cola millenii,Malvaceae,16.5,0.23,0.16,0.05,13.6,0.77,Plot10_1
1934,10,Hildegardia barteri,Malvaceae,48.5,0.52,0.39,0.06,24.3,0.33,Plot10_1
1935,10,Dialium guineense ,Fabaceae,17.5,0.19,0.11,0.06,18.6,0.88,Plot10_1
1936,10,Cola millenii,Malvaceae,18.5,0.24,0.15,0.05,17.3,0.77,Plot10_1
1937,10,Celtis zenkeri,Cannabaceae,26.5,0.37,0.19,0.06,22.4,0.65,Plot10_1
1938,10,Ricinodendron heudelotii,Euphorbiaceae,43.7,0.49,0.41,0.05,16.2,0.22,Plot10_1
1939,10,Celtis zenkeri,Cannabaceae,33.2,0.43,0.26,0.08,22.4,0.65,Plot10_1
1940,10,Cola millenii,Malvaceae,13.2,0.15,0.1,0.04,15.8,0.77,Plot10_1
1941,10,Cola millenii,Malvaceae,13.6,0.17,0.1,0.06,13.7,0.77,Plot10_1
1942,10,Celtis zenkeri,Cannabaceae,16.3,0.18,0.11,0.05,22.9,0.65,Plot10_1
1943,10,Celtis zenkeri,Cannabaceae,14.3,0.17,0.09,0.04,14.7,0.65,Plot10_2
1944,10,Hildegardia barteri,Malvaceae,40,0.45,0.36,0.05,22.3,0.33,Plot10_2
1945,10,Trichilia heudelotii,Meliaceae,14.6,0.24,0.11,0.04,16,0.44,Plot10_2
1946,10,Funtumia elastica,Apocynaceae,21.3,0.24,0.17,0.05,21.7,0.51,Plot10_2
1947,10,Ricinodendron heudelotii,Euphorbiaceae,28.7,0.35,0.2,0.05,21.6,0.22,Plot10_2
1948,10,Cola millenii,Malvaceae,15.5,0.18,0.12,0.04,16.5,0.77,Plot10_2
1949,10,Cola millenii,Malvaceae,15.5,0.18,0.12,0.04,12.9,0.77,Plot10_2
1950,10,Ceiba pentandra,Malvaceae,23.6,0.27,0.17,0.05,21.5,0.3,Plot10_2
1951,10,Dialium guineense ,Fabaceae,38.3,0.45,0.39,0.05,23.8,0.88,Plot10_2
1952,10,Dialium guineense ,Fabaceae,17.5,0.2,0.11,0.06,17.3,0.88,Plot10_2
1953,10,Brachystegia eurycoma,Fabaceae,67,0.74,0.55,0.08,26,0.52,Plot10_2
1954,10,Cola millenii,Malvaceae,13.5,0.15,0.08,0.04,12.9,0.77,Plot10_2
1955,10,Trichilia monadelpha,Meliaceae,21,0.26,0.15,0.04,16.5,0.48,Plot10_2
1956,10,Triplochiton scleroxylon,Malvaceae,72.5,0.86,0.64,0.09,25.6,0.34,Plot10_2
1957,10,Cola millenii,Malvaceae,15.1,0.17,0.09,0.05,12.9,0.77,Plot10_2
1958,10,Cola millenii,Malvaceae,13.8,0.18,0.1,0.07,20.3,0.77,Plot10_2
1959,10,Cola millenii,Malvaceae,11.8,0.15,0.08,0.04,17.9,0.77,Plot10_2
1960,10,Ceiba pentandra,Malvaceae,47.9,0.58,0.44,0.05,25.6,0.3,Plot10_2
1961,10,Celtis zenkeri,Cannabaceae,12.9,0.15,0.1,0.05,18.7,0.65,Plot10_2
1962,10,Cola millenii,Malvaceae,17,0.24,0.15,0.06,18.9,0.77,Plot10_2
1963,10,Cola millenii,Malvaceae,28.1,0.32,0.23,0.05,21,0.77,Plot10_2
1964,10,Monodora tenuifolia,Annonaceae,14.3,0.17,0.1,0.04,16.4,0.49,Plot10_2
1965,10,Celtis zenkeri,Cannabaceae,11,0.13,0.07,0.05,21,0.65,Plot10_2
1966,10,Spondias mombin,Anacardiaceae,27.2,0.3,0.17,0.07,17.2,0.32,Plot10_2
1967,10,Cola millenii,Malvaceae,15.8,0.18,0.12,0.05,14.9,0.77,Plot10_2
1968,10,Ceiba pentandra,Malvaceae,64.3,0.78,0.52,0.06,25.8,0.3,Plot10_2
1969,10,Antiaris toxicaria,Moraceae,25.3,0.28,0.17,0.06,21.2,0.38,Plot10_2
1970,10,Ricinodendron heudelotii,Euphorbiaceae,107,1.17,0.82,0.06,25.2,0.22,Plot10_2
1971,10,Piptadeniastrum africanum,Fabaceae,89,0.96,0.6,0.06,25,0.64,Plot10_2
1972,10,Cola millenii,Malvaceae,14,0.18,0.08,0.04,20,0.77,Plot10_2
1973,10,Pouteria alnifolia,Fabaceae,39.5,0.45,0.26,0.05,17.7,0.55,Plot10_2
1974,10,Funtumia elastica,Apocynaceae,15.5,0.2,0.11,0.04,19.7,0.51,Plot10_3
1975,10,Trichilia monadelpha,Meliaceae,17,0.23,0.13,0.07,19.7,0.48,Plot10_3
1976,10,Trichilia heudelotii,Meliaceae,28,0.33,0.24,0.05,19.2,0.44,Plot10_3
1977,10,Xylopia aethiopica,Annonaceae,12.8,0.16,0.09,0.04,11.6,0.44,Plot10_3
1978,10,Alstonia boonei,Apocynaceae,55,0.7,0.37,0.05,20.4,0.37,Plot10_3
1979,10,Funtumia elastica,Apocynaceae,12.7,0.16,0.1,0.04,15.8,0.51,Plot10_3
1980,10,Cola gigantea,Malvaceae,13,0.15,0.13,0.05,11.5,0.54,Plot10_3
1981,10,Newbouldia laevis,Bignoniaceae,13.2,0.16,0.1,0.05,17.9,0.49,Plot10_3
1982,10,Newbouldia laevis,Bignoniaceae,20.5,0.24,0.14,0.04,21.5,0.49,Plot10_3
1983,10,Trilepisium madagascariense,Moraceae,30.2,0.4,0.23,0.04,21.1,0.5,Plot10_3
1984,10,Hildegardia barteri,Malvaceae,31.9,0.35,0.25,0.05,22,0.33,Plot10_3
1985,10,Trilepisium madagascariense,Moraceae,37.2,0.52,0.26,0.07,22,0.5,Plot10_3
1986,10,Trilepisium madagascariense,Moraceae,57.8,0.62,0.43,0.04,20.8,0.5,Plot10_3
1987,10,Hildegardia barteri,Malvaceae,72.9,0.87,0.52,0.06,25,0.33,Plot10_3
1988,10,Dialium guineense ,Fabaceae,14.3,0.17,0.1,0.04,19.8,0.88,Plot10_3
1989,10,Ricinodendron heudelotii,Euphorbiaceae,56,0.65,0.5,0.06,20.6,0.22,Plot10_3
1990,10,Trilepisium madagascariense,Moraceae,10.5,0.15,0.08,0.04,10.2,0.5,Plot10_3
1991,10,Sterculia rhinopetala,Malvaceae,11,0.15,0.07,0.05,11.4,0.64,Plot10_3
1992,10,Albizia ferruginea,Fabaceae,47,0.52,0.36,0.06,22.6,0.47,Plot10_3
1993,10,Cola millenii,Malvaceae,18.5,0.21,0.14,0.04,20.3,0.77,Plot10_3
1994,10,Ricinodendron heudelotii,Euphorbiaceae,56,0.65,0.49,0.06,20.6,0.22,Plot10_3
1995,10,Ricinodendron heudelotii,Euphorbiaceae,39,0.42,0.3,0.05,20.6,0.22,Plot10_3
1996,10,Brachystegia eurycoma,Fabaceae,33,0.37,0.26,0.05,21.8,0.52,Plot10_3
1997,10,Brachystegia eurycoma,Fabaceae,89.3,1.01,0.63,0.09,24.5,0.52,Plot10_3
1998,10,Cola gigantea,Malvaceae,49.3,0.66,0.37,0.05,22.6,0.54,Plot10_3
1999,10,Alstonia boonei,Apocynaceae,24,0.31,0.05,0.04,20.2,0.37,Plot10_3
2000,10,Celtis zenkeri,Cannabaceae,17,0.2,0.14,0.05,22.9,0.65,Plot10_4
2001,10,Celtis zenkeri,Cannabaceae,29.1,0.36,0.17,0.05,23.9,0.65,Plot10_4
2002,10,Antiaris toxicaria,Moraceae,32,0.41,0.27,0.06,20.9,0.38,Plot10_4
2003,10,Celtis zenkeri,Cannabaceae,15.1,0.18,0.1,0.05,20,0.65,Plot10_4
2004,10,Celtis zenkeri,Cannabaceae,22,0.24,0.17,0.05,19.9,0.65,Plot10_4
2005,10,Ceiba pentandra,Malvaceae,60.2,0.71,0.54,0.06,21.2,0.3,Plot10_4
2006,10,Cola gigantea,Malvaceae,27.9,0.33,0.15,0.06,21.9,0.54,Plot10_4
2007,10,Celtis zenkeri,Cannabaceae,20.2,0.23,0.13,0.05,20.5,0.65,Plot10_4
2008,10,Terminalia ivorensis,Combretaceae,42,0.62,0.38,0.05,22.5,0.48,Plot10_4
2009,10,Ricinodendron heudelotii,Euphorbiaceae,33,0.37,0.24,0.06,21.2,0.22,Plot10_4
2010,10,Dialium guineense ,Fabaceae,21.4,0.29,0.17,0.04,21,0.88,Plot10_4
2011,10,Brachystegia eurycoma,Fabaceae,31.7,0.41,0.23,0.05,22.4,0.52,Plot10_4
2012,10,Ricinodendron heudelotii,Euphorbiaceae,38.3,0.47,0.3,0.06,23.2,0.22,Plot10_4
2013,10,Dialium guineense ,Fabaceae,14,0.2,0.1,0.05,24.9,0.88,Plot10_4
2014,10,Ceiba pentandra,Malvaceae,69.6,0.73,0.75,0.12,21.6,0.3,Plot10_4
2015,10,Terminalia superba,Combretaceae,64,0.87,0.51,0.05,24.7,0.45,Plot10_4
2016,10,Anthonotha macrophylla,Fabaceae,16.3,0.19,0.09,0.03,17.7,0.78,Plot10_4
2017,10,Anthonotha macrophylla,Fabaceae,14.3,0.17,0.1,0.04,17.2,0.78,Plot10_4
2018,10,Anthonotha macrophylla,Fabaceae,15.1,0.17,0.1,0.04,17.5,0.78,Plot10_4
2019,10,Celtis zenkeri,Cannabaceae,17.6,0.22,0.12,0.05,21.2,0.65,Plot10_4
2020,10,Dialium guineense ,Fabaceae,17,0.22,0.1,0.06,19.6,0.88,Plot10_4
2021,10,Ceiba pentandra,Malvaceae,39.2,0.44,0.24,0.06,20.9,0.3,Plot10_4
2022,10,Alstonia boonei,Apocynaceae,54,0.65,0.43,0.06,21.9,0.37,Plot10_4
2023,10,Ricinodendron heudelotii,Euphorbiaceae,65,0.8,0.53,0.05,23,0.22,Plot10_4
2024,10,Ricinodendron heudelotii,Euphorbiaceae,65.2,0.71,0.48,0.05,22.2,0.22,Plot10_4
2025,10,Ceiba pentandra,Malvaceae,15.8,0.17,0.12,0.05,21.3,0.3,Plot10_4
2026,10,Alstonia boonei,Apocynaceae,87.3,0.91,0.63,0.06,24.3,0.37,Plot10_4
2027,10,Cola millenii,Malvaceae,11.9,0.14,0.08,0.05,20.1,0.77,Plot10_4
2028,10,Microdesmis puberula,Pandacea,27.6,0.31,0.2,0.05,25.6,0.7,Plot10_4
2029,10,Monodora tenuifolia,Annonaceae,23.2,0.27,0.19,0.06,19.8,0.49,Plot10_4
2030,10,Cola millenii,Malvaceae,31,0.35,0.27,0.07,22.4,0.77,Plot10_4
2031,10,Olax subscorpioidea,Olacaceae,14,0.18,0.1,0.06,11.7,0.77,Plot10_4
2032,10,Trichilia heudelotii,Meliaceae,49,0.57,0.28,0.06,19.5,0.44,Plot10_4
2033,10,Triplochiton scleroxylon,Malvaceae,32.5,0.44,0.3,0.05,21.6,0.34,Plot10_4
2034,10,Triplochiton scleroxylon,Malvaceae,35.7,0.39,0.29,0.05,22,0.34,Plot10_4
2035,10,Ceiba pentandra,Malvaceae,51.3,0.56,0.39,0.06,21.1,0.3,Plot10_4
2036,10,Ricinodendron heudelotii,Euphorbiaceae,40,0.46,0.3,0.04,21.2,0.22,Plot10_5
2037,10,Ricinodendron heudelotii,Euphorbiaceae,44.2,0.5,0.34,0.06,22.7,0.22,Plot10_5
2038,10,Anthonotha macrophylla,Fabaceae,15.8,0.21,0.14,0.05,20,0.78,Plot10_5
2039,10,Ricinodendron heudelotii,Euphorbiaceae,46.2,0.55,0.37,0.05,22.9,0.22,Plot10_5
2040,10,Cola gigantea,Malvaceae,11.2,0.15,0.07,0.06,18.6,0.54,Plot10_5
2041,10,Ricinodendron heudelotii,Euphorbiaceae,55.8,0.61,0.41,0.06,25.5,0.22,Plot10_5
2042,10,Cola gigantea,Malvaceae,25.3,0.32,0.13,0.04,20,0.54,Plot10_5
2043,10,Ceiba pentandra,Malvaceae,47,0.53,0.39,0.05,21.6,0.3,Plot10_5
2044,10,Pterygota macrocarpa,Malvaceae,24.9,0.31,0.16,0.06,20.9,0.52,Plot10_5
2045,10,Cola millenii,Malvaceae,14,0.18,0.08,0.04,20,0.77,Plot10_5
2046,10,Sterculia tragacantha,Malvaceae,20.8,0.25,0.13,0.05,20.2,0.48,Plot10_5
2047,10,Ceiba pentandra,Malvaceae,237,2.48,1.72,0.1,24.4,0.3,Plot10_5
2048,10,Celtis zenkeri,Cannabaceae,45.8,0.59,0.38,0.06,23.2,0.65,Plot10_5
2049,10,Hildegardia barteri,Malvaceae,32,0.38,0.28,0.06,21.8,0.33,Plot10_5
2050,10,Triplochiton scleroxylon,Malvaceae,65,0.7,0.52,0.08,23.4,0.34,Plot10_5
2051,10,Cola gigantea,Malvaceae,43.8,0.53,0.38,0.06,24.8,0.54,Plot10_5
2052,10,Cola gigantea,Malvaceae,12.5,0.17,0.09,0.04,19.2,0.54,Plot10_5
2053,10,Celtis zenkeri,Cannabaceae,14,0.17,0.1,0.04,21.5,0.65,Plot10_5
2054,10,Ceiba pentandra,Malvaceae,100,1.29,0.58,0.12,22.4,0.3,Plot10_5
2055,10,Celtis zenkeri,Cannabaceae,19.8,0.24,0.11,0.04,21.8,0.65,Plot10_5
2056,10,Sterculia tragacantha,Malvaceae,33.8,0.37,0.29,0.05,23.3,0.48,Plot10_5
2057,10,Cola millenii,Malvaceae,21.3,0.25,0.15,0.05,15,0.77,Plot10_5
2058,10,Ricinodendron heudelotii,Euphorbiaceae,56,0.65,0.49,0.06,20.6,0.22,Plot10_5
2059,10,Ricinodendron heudelotii,Euphorbiaceae,39,0.42,0.3,0.05,20.6,0.22,Plot10_5
2060,10,Brachystegia eurycoma,Fabaceae,33,0.37,0.26,0.05,21.8,0.52,Plot10_5
2061,10,Pterygota macrocarpa,Malvaceae,13.5,0.19,0.08,0.04,20.9,0.52,Plot10_5
2062,10,Sterculia tragacantha,Malvaceae,13.7,0.18,0.07,0.03,20.9,0.48,Plot10_6
2063,10,Cola gigantea,Malvaceae,21,0.25,0.13,0.07,21,0.54,Plot10_6
2064,10,Triplochiton scleroxylon,Malvaceae,33.9,0.41,0.27,0.05,22.5,0.34,Plot10_6
2065,10,Cola millenii,Malvaceae,19,0.24,0.1,0.06,19.7,0.77,Plot10_6
2066,10,Hildegardia barteri,Malvaceae,39,0.47,0.24,0.07,22.9,0.33,Plot10_6
2067,10,Microdesmis puberula,Pandacea,24.8,0.35,0.15,0.06,21.4,0.7,Plot10_6
2068,10,Antiaris africana,Moraceae,22.2,0.31,0.17,0.05,20.7,0.37,Plot10_6
2069,10,Zanthoxylum leprieurii,Rutaceae,30.1,0.35,0.17,0.05,23.4,0.59,Plot10_6
2070,10,Pouteria alnifolia,Fabaceae,29,0.38,0.16,0.06,22.7,0.55,Plot10_6
2071,10,Cola millenii,Malvaceae,16,0.23,0.09,0.05,18.9,0.77,Plot10_6
2072,10,Ricinodendron heudelotii,Euphorbiaceae,66,0.76,0.39,0.05,21.8,0.22,Plot10_6
2073,10,Sterculia tragacantha,Malvaceae,14.8,0.22,0.1,0.04,19.4,0.48,Plot10_6
2074,10,Ricinodendron heudelotii,Euphorbiaceae,29,0.32,0.2,0.05,20,0.22,Plot10_6
2075,10,Ricinodendron heudelotii,Euphorbiaceae,64,0.82,0.45,0.04,24.4,0.22,Plot10_6
2076,10,Cola millenii,Malvaceae,22.5,0.29,0.14,0.05,21.9,0.77,Plot10_6
2077,10,Ricinodendron heudelotii,Euphorbiaceae,30.6,0.37,0.23,0.05,17.8,0.22,Plot10_6
2078,10,Cola millenii,Malvaceae,29,0.38,0.2,0.06,23.1,0.77,Plot10_6
2079,10,Hildegardia barteri,Malvaceae,29,0.32,0.2,0.06,23.5,0.33,Plot10_6
2080,10,Hildegardia barteri,Malvaceae,73,0.87,0.52,0.06,24.6,0.33,Plot10_6
2081,10,Hildegardia barteri,Malvaceae,32,0.38,0.21,0.05,22.4,0.33,Plot10_6
2082,10,Hildegardia barteri,Malvaceae,15.4,0.23,0.14,0.04,20.5,0.33,Plot10_6
2083,10,Ricinodendron heudelotii,Euphorbiaceae,53.8,0.63,0.39,0.04,24.1,0.22,Plot10_6
2084,10,Cola millenii,Malvaceae,23.6,0.29,0.15,0.06,20.3,0.77,Plot10_6
2085,10,Celtis zenkeri,Cannabaceae,24,0.27,0.17,0.05,22.2,0.65,Plot10_6
2086,10,Celtis zenkeri,Cannabaceae,20,0.23,0.11,0.07,20.7,0.65,Plot10_6
2087,10,Hildegardia barteri,Malvaceae,64,0.88,0.43,0.06,25.2,0.33,Plot10_6
2088,10,Cola millenii,Malvaceae,17.4,0.22,0.1,0.05,20.1,0.77,Plot10_6
2089,10,Brachystegia eurycoma,Fabaceae,35.2,0.41,0.26,0.06,24.3,0.52,Plot10_6
2090,10,Cola millenii,Malvaceae,10.8,0.13,0.07,0.04,19.1,0.77,Plot10_6
2091,10,Cola gigantea,Malvaceae,18,0.2,0.1,0.06,18.7,0.54,Plot10_6
2092,10,Milicia excelsa,Moraceae,49,0.57,0.39,0.05,26.3,0.59,Plot10_6
2093,10,Hildegardia barteri,Malvaceae,56,0.62,0.46,0.06,22.9,0.33,Plot10_7
2094,10,Hildegardia barteri,Malvaceae,47,0.52,0.3,0.08,25.9,0.33,Plot10_7
2095,10,Ricinodendron heudelotii,Euphorbiaceae,35,0.38,0.27,0.05,22.7,0.22,Plot10_7
2096,10,Celtis zenkeri,Cannabaceae,35.6,0.44,0.27,0.06,24.3,0.65,Plot10_7
2097,10,Spondias mombin,Anacardiaceae,19,0.23,0.12,0.04,20.4,0.32,Plot10_7
2098,10,Hildegardia barteri,Malvaceae,56,0.62,0.46,0.06,22.9,0.33,Plot10_7
2099,10,Zanthoxylum leprieurii,Rutaceae,24.2,0.27,0.2,0.06,19.3,0.59,Plot10_7
2100,10,Spondias mombin,Anacardiaceae,13.3,0.16,0.09,0.04,16.3,0.32,Plot10_7
2101,10,Ricinodendron heudelotii,Euphorbiaceae,67,0.84,0.42,0.06,24.3,0.22,Plot10_7
2102,10,Ficus mucuso,Moraceae,34.2,0.37,0.26,0.06,23.9,0.41,Plot10_7
2103,10,Hildegardia barteri,Malvaceae,47,0.52,0.3,0.08,25.9,0.33,Plot10_7
2104,10,Cola gigantea,Malvaceae,12.3,0.16,0.12,0.05,15.3,0.54,Plot10_7
2105,10,Spondias mombin,Anacardiaceae,42.8,0.46,0.26,0.05,22.2,0.32,Plot10_7
2106,10,Ceiba pentandra,Malvaceae,30.2,0.34,0.23,0.05,24.2,0.3,Plot10_7
2107,10,Celtis philippensis,Cannabaceae,16,0.2,0.11,0.05,21.2,0.72,Plot10_7
2108,10,Celtis philippensis,Cannabaceae,29.1,0.33,0.2,0.07,21.4,0.72,Plot10_7
2109,10,Celtis zenkeri,Cannabaceae,36.9,0.41,0.18,0.05,21.8,0.65,Plot10_7
2110,10,Ceiba pentandra,Malvaceae,10.3,0.12,0.09,0.04,24.1,0.3,Plot10_7
2111,10,Trilepisium madagascariense,Moraceae,13,0.16,0.1,0.05,19.4,0.5,Plot10_7
2112,10,Trichilia heudelotii,Meliaceae,13.4,0.18,0.1,0.05,19.7,0.44,Plot10_7
2113,10,Trichilia heudelotii,Meliaceae,13,0.16,0.1,0.05,20.2,0.44,Plot10_7
2114,10,Cola millenii,Malvaceae,12,0.15,0.07,0.04,18.4,0.77,Plot10_7
2115,10,Triplochiton scleroxylon,Malvaceae,19.8,0.22,0.13,0.05,19.5,0.34,Plot10_7
2116,10,Ricinodendron heudelotii,Euphorbiaceae,27,0.34,0.19,0.05,22.2,0.22,Plot10_7
2117,10,Ricinodendron heudelotii,Euphorbiaceae,27,0.3,0.2,0.06,22,0.22,Plot10_7
2118,10,Antiaris africana,Moraceae,24,0.27,0.2,0.06,21.2,0.37,Plot10_7
2119,10,Dialium guineense ,Fabaceae,13.2,0.18,0.09,0.05,22,0.88,Plot10_8
2120,10,Dialium guineense ,Fabaceae,20.4,0.29,0.17,0.05,22.2,0.88,Plot10_8
2121,10,Cola millenii,Malvaceae,13,0.15,0.09,0.04,16.1,0.77,Plot10_8
2122,10,Cola millenii,Malvaceae,20,0.24,0.13,0.06,20.7,0.77,Plot10_8
2123,10,Dialium guineense ,Fabaceae,18.7,0.25,0.15,0.05,22,0.88,Plot10_8
2124,10,Trichilia monadelpha,Meliaceae,18,0.24,0.15,0.04,22.6,0.48,Plot10_8
2125,10,Alstonia boonei,Apocynaceae,69,0.85,0.4,0.07,24.3,0.37,Plot10_8
2126,10,Ricinodendron heudelotii,Euphorbiaceae,67,0.79,0.39,0.06,23.7,0.22,Plot10_8
2127,10,Zanthoxylum leprieurii,Rutaceae,32,0.37,0.24,0.06,24.5,0.59,Plot10_8
2128,10,Ricinodendron heudelotii,Euphorbiaceae,70,0.89,0.52,0.07,21.5,0.22,Plot10_8
2129,10,Funtumia elastica,Apocynaceae,20,0.25,0.13,0.05,19.2,0.51,Plot10_8
2130,10,Trilepisium madagascariense,Moraceae,29,0.34,0.17,0.06,23.1,0.5,Plot10_8
2131,10,Cola millenii,Malvaceae,11.2,0.15,0.08,0.04,12.4,0.77,Plot10_8
2132,10,Strombosia pustulata,Olacaceae,14.3,0.17,0.1,0.05,15.1,0.83,Plot10_8
2133,10,Piptadeniastrum africanum,Fabaceae,25.9,0.29,0.16,0.05,15.1,0.64,Plot10_8
2134,10,Newbouldia laevis,Bignoniaceae,11.2,0.15,0.09,0.05,19.9,0.49,Plot10_8
2135,10,Brachystegia eurycoma,Fabaceae,53,0.69,0.42,0.05,24.5,0.52,Plot10_8
2136,10,Celtis zenkeri,Cannabaceae,11,0.15,0.09,0.06,19.3,0.65,Plot10_8
2137,10,Celtis zenkeri,Cannabaceae,29,0.31,0.15,0.05,19.9,0.65,Plot10_8
2138,10,Ceiba pentandra,Malvaceae,140,1.6,0.83,0.13,24.7,0.3,Plot10_8
2139,10,Ceiba pentandra,Malvaceae,27.1,0.29,0.15,0.05,23.2,0.3,Plot10_8
2140,10,Ficus exasperata,Moraceae,21,0.28,0.12,0.08,23.6,0.34,Plot10_8
2141,10,Daniellia ogea,Fabaceae,41.4,0.46,0.27,0.07,24.4,0.31,Plot10_8
2142,10,Brachystegia eurycoma,Fabaceae,55,0.68,0.39,0.05,25,0.52,Plot10_8
2143,10,Ricinodendron heudelotii,Euphorbiaceae,29.1,0.39,0.17,0.06,23.5,0.22,Plot10_8
2144,10,Ricinodendron heudelotii,Euphorbiaceae,37.1,0.41,0.29,0.06,22.1,0.22,Plot10_9
2145,10,Brachystegia eurycoma,Fabaceae,12,0.15,0.1,0.05,19.5,0.52,Plot10_9
2146,10,Brachystegia eurycoma,Fabaceae,17.5,0.21,0.12,0.06,19.5,0.52,Plot10_9
2147,10,Hildegardia barteri,Malvaceae,22.5,0.25,0.17,0.04,19.3,0.33,Plot10_9
2148,10,Brachystegia eurycoma,Fabaceae,47.9,0.52,0.3,0.07,22,0.52,Plot10_9
2149,10,Ricinodendron heudelotii,Euphorbiaceae,13,0.15,0.09,0.05,22.1,0.22,Plot10_9
2150,10,Ricinodendron heudelotii,Euphorbiaceae,30.4,0.38,0.23,0.04,23.3,0.22,Plot10_9
2151,10,Ricinodendron heudelotii,Euphorbiaceae,22,0.29,0.15,0.06,22.9,0.22,Plot10_9
2152,10,Cola millenii,Malvaceae,12,0.15,0.09,0.05,22.7,0.77,Plot10_9
2153,10,Cola millenii,Malvaceae,11,0.13,0.08,0.06,21,0.77,Plot10_9
2154,10,Ricinodendron heudelotii,Euphorbiaceae,31,0.4,0.14,0.06,22.3,0.22,Plot10_9
2155,10,Ricinodendron heudelotii,Euphorbiaceae,31.4,0.36,0.22,0.05,21.6,0.22,Plot10_9
2156,10,Cola millenii,Malvaceae,21.5,0.25,0.14,0.03,19.6,0.77,Plot10_9
2157,10,Cola millenii,Malvaceae,20.2,0.25,0.17,0.04,14.2,0.77,Plot10_9
2158,10,Brachystegia eurycoma,Fabaceae,12,0.16,0.09,0.05,19.4,0.52,Plot10_9
2159,10,Albizia ferruginea,Fabaceae,42,0.52,0.31,0.07,23.6,0.47,Plot10_9
2160,10,Brachystegia eurycoma,Fabaceae,32.9,0.38,0.26,0.07,22.5,0.52,Plot10_9
2161,10,Ricinodendron heudelotii,Euphorbiaceae,29.1,0.39,0.17,0.08,22.8,0.22,Plot10_9
2162,10,Alstonia boonei,Apocynaceae,50,0.67,0.22,0.1,22.6,0.37,Plot10_9
2163,10,Celtis zenkeri,Cannabaceae,20,0.23,0.11,0.07,20.7,0.65,Plot10_9
2164,10,Pterygota macrocarpa,Malvaceae,34.2,0.39,0.21,0.05,24.6,0.52,Plot10_9
2165,10,Cola gigantea,Malvaceae,13.9,0.18,0.1,0.03,14.5,0.54,Plot10_9
2166,10,Cola gigantea,Malvaceae,25.7,0.27,0.17,0.05,22.3,0.54,Plot10_9
2167,10,Cola gigantea,Malvaceae,23.3,0.25,0.14,0.05,22.3,0.54,Plot10_9
2168,10,Ricinodendron heudelotii,Euphorbiaceae,28.8,0.33,0.21,0.04,19.7,0.22,Plot10_9
2169,10,Cola gigantea,Malvaceae,16.5,0.19,0.1,0.03,19.2,0.54,Plot10_10
2170,10,Cola gigantea,Malvaceae,16.2,0.18,0.1,0.04,18.6,0.54,Plot10_10
2171,10,Celtis philippensis,Cannabaceae,11,0.13,0.11,0.03,14.2,0.72,Plot10_10
2172,10,Cola gigantea,Malvaceae,38,0.53,0.24,0.05,23.3,0.54,Plot10_10
2173,10,Cola gigantea,Malvaceae,25,0.31,0.16,0.04,21.7,0.54,Plot10_10
2174,10,Ricinodendron heudelotii,Euphorbiaceae,26.7,0.29,0.15,0.07,25.5,0.22,Plot10_10
2175,10,Cola millenii,Malvaceae,15,0.18,0.09,0.04,15.3,0.77,Plot10_10
2176,10,Ricinodendron heudelotii,Euphorbiaceae,66.7,0.67,0.43,0.06,23.2,0.22,Plot10_10
2177,10,Microdesmis puberula,Pandacea,18,0.22,0.12,0.03,11.2,0.7,Plot10_10
2178,10,Ricinodendron heudelotii,Euphorbiaceae,80.4,0.85,0.67,0.09,22,0.22,Plot10_10
2179,10,Brachystegia eurycoma,Fabaceae,50.4,0.54,0.48,0.06,21.8,0.52,Plot10_10
2180,10,Blighia sapida,Sapindaceae,46,0.58,0.39,0.05,21.2,0.81,Plot10_10
